student_id,name,class,section,address,phone_number
1,Ferris Burnel,5,D,83 Leroy Alley,9196603770
2,Ilse McCoveney,5,D,35 Cambridge Alley,7229523308
3,Candy Daffey,5,D,09185 Holy Cross Junction,1861000515
4,Stirling Marciek,5,D,645 Pawling Terrace,5848448348
5,Kara Sutherley,5,D,94681 Marquette Way,5986238005
6,Trudie Joontjes,5,D,873 Myrtle Avenue,8488521617
7,Nancee Rolfi,5,A,34 Kipling Hill,2301049341
8,Mara Gibb,5,C,694 Blaine Alley,1171253551
9,Devin Simner,5,D,44551 Mccormick Terrace,3908990822
10,Kettie Ellens,5,B,64216 Del Sol Terrace,3845585305
11,Rudolf Lightman,5,A,8 Mallard Way,9093640636
12,Adelina Garrett,5,C,590 Haas Avenue,4558720383
13,Mela Gilchrest,5,A,279 Surrey Place,7171503930
14,Halley Pigny,5,C,58 Linden Junction,8348392593
15,Lydon Luty,5,D,40730 Carioca Hill,7745822053
16,Georgiana Iron,5,D,2090 Melrose Trail,3137630569
17,Fenelia Hurleston,5,C,62101 1st Park,1122635998
18,Genna Morshead,5,D,68765 Everett Lane,3841991588
19,Jerrold MacBrearty,5,D,3182 Farragut Lane,7048555230
20,Ira Beetham,5,D,89725 Springs Crossing,2763304363
21,Scot Iddens,5,D,70 Spaight Road,1337004577
22,Judye Riccelli,5,D,523 Mallory Crossing,6327386697
23,Niels Loosemore,5,A,535 Shasta Circle,3434611736
24,Jaynell Turland,5,D,906 Oneill Place,5901866242
25,Adara Kleanthous,5,D,3876 Cordelia Circle,7146783390
26,Durand Thundercliffe,5,D,3486 Packers Court,2452011378
27,Boycie Coite,5,D,42 Meadow Valley Alley,8375291495
28,Caro Chastelain,5,D,14227 Crest Line Alley,8508820941
29,Tudor Swetland,5,C,50277 Esker Circle,4872921155
30,Krissy Lowensohn,5,A,85 1st Park,6895068371
31,Dion Titman,5,D,019 Kenwood Point,1953932974
32,Adham Buttrey,5,C,1922 Bellgrove Point,2463118778
33,Hermine Joire,5,D,7470 Shopko Junction,2152955466
34,Devinne Bockmann,5,C,64 Gulseth Trail,3601833357
35,Evelyn Bulfoy,5,D,2981 Sutteridge Court,3712557372
36,Rebecca Cholmondeley,5,D,9 Crowley Way,1067125090
37,Findlay Brabon,5,B,7236 Shelley Road,4814270545
38,Lyn Beckworth,5,B,389 Oxford Terrace,3189935547
39,Sammie Preator,5,B,83 La Follette Lane,9931833944
40,Winnie Stoite,5,A,683 Tennessee Avenue,9076450858
41,Lilla Wigelsworth,5,A,39382 Forest Dale Street,5111482935
42,Georgie Springthorpe,5,C,32682 Hanson Junction,8769101544
43,Pavlov Sorrill,5,C,02872 Dovetail Terrace,9439756926
44,Karon Worswick,5,C,0370 Scott Park,5312965274
45,Jemmie Chaney,5,A,412 Merrick Crossing,7874206064
46,Isabel Sybry,5,C,0481 Johnson Parkway,4012256067
47,Gretel Paulitschke,5,C,14361 Mayfield Way,6527877485
48,Gabie Assinder,5,C,14 Delaware Alley,5151519435
49,Kip Thundercliffe,5,B,5357 Harper Lane,3794969258
50,Davidde MacAlpine,5,D,40278 Rockefeller Court,3487723612
51,Gan Brewin,5,D,6 Meadow Vale Avenue,4811013230
52,Calhoun McCullagh,5,C,2095 Homewood Alley,8565664770
53,Crissy Glendza,5,A,843 Carpenter Place,8164275578
54,Leora Dady,5,C,4 Hollow Ridge Lane,8724509257
55,Felicia Schlagman,5,A,81 Homewood Avenue,4175819210
56,Hedvig Grute,5,C,13272 Eastwood Pass,5121352827
57,Virgina Grigaut,5,C,891 Fairview Street,2671258199
58,Beatrice Bagott,5,B,47984 Granby Hill,5212882115
59,Sully Dell Casa,5,D,31 Dixon Terrace,3346263835
60,Dallas Mac Geaney,5,B,7382 Valley Edge Point,3491704986
61,Glyn Rosten,5,D,580 Red Cloud Lane,5441917294
62,Pieter Janecki,5,D,5 Manley Parkway,2301990578
63,Jacinthe Hick,5,B,19 Brown Court,5143554411
64,Rorie Bloomfield,5,D,1172 Bashford Junction,6319108353
65,Celka Menear,5,C,7873 Hoepker Circle,2402025322
66,Ynes Jaram,5,D,61859 Glacier Hill Lane,3696149766
67,Ronda Poag,5,C,24171 Briar Crest Parkway,9208612121
68,Wallis Kuhnwald,5,A,9 Nevada Place,1718985029
69,Pen McEneny,5,A,0439 Dovetail Way,8834340139
70,Tiffani Ferie,5,C,958 Hansons Hill,9821761433
71,Michail Trevaskis,5,D,78 Weeping Birch Hill,6937953581
72,Lawton Woodall,5,D,960 Grover Place,1796906057
73,Graham Lambe,5,D,6 Messerschmidt Crossing,8432524918
74,Gus Clery,5,D,66702 Burrows Pass,3773457337
75,Quincey Moorhead,5,A,12674 Stoughton Lane,9643233387
76,Philippe Quickfall,5,C,4 Tennessee Plaza,1482364421
77,Garnette Obal,5,C,69477 Nova Crossing,5455870932
78,Abey Matton,5,D,527 Waubesa Avenue,2059506248
79,Wallace Coffelt,5,C,1962 7th Court,2585838776
80,Dorice MacNalley,5,D,82338 Montana Parkway,1838863114
81,Brandtr Norkutt,5,D,802 Dexter Road,9687754781
82,Willem Cowmeadow,5,A,3183 Algoma Court,4413594199
83,Hailee Sparshett,5,A,76 Derek Junction,2185234277
84,Elmira Dunston,5,C,94653 Pond Point,5597622189
85,Tina Kinder,5,D,5 Old Gate Court,7788438430
86,Geoffrey Klemt,5,A,09 School Plaza,1192817602
87,Alonso Salmons,5,B,43 Rieder Crossing,8289069622
88,Eleen Horrell,5,D,52 Melby Drive,1127154646
89,Gretta Binyon,5,C,94079 Pleasure Hill,1689914440
